target_id,synthetic_trace,batch_id,source_event_id,source_crs,target_crs,ingress_gate_status,assigned_effector,authorization_level,assignment_probability,simulated_outcome,seed,time_path,evidence_scope,observed_ms,track_stable_ms,ingress_and_crs_gate_ms,fused_ms,threat_classified_ms,c2_available_ms,wta_assigned_ms,authorization_decided_ms,command_delivered_ms,aim_complete_ms,effect_arrived_ms,feedback_recorded_ms,full_loop_ms
Threat_01,True,BATCH-ZX2026-20-001,SYN-RADAR-007-001,OGC:CRS84,EPSG:32651,ACCEPT,HEL,L3,0.956522,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,293,520,563,886,981,1035,1202,1752,1799,2019,2169,2521,2521
Threat_02,True,BATCH-ZX2026-20-001,SYN-RADAR-007-002,OGC:CRS84,EPSG:32651,ACCEPT,HEL,L3,0.947846,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,298,525,568,891,986,1040,1207,1757,1804,2024,2174,2526,2521
Threat_03,True,BATCH-ZX2026-20-001,SYN-RADAR-007-003,OGC:CRS84,EPSG:32651,ACCEPT,Kinetic,L3,0.896629,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,303,530,573,896,991,1045,1212,1762,1809,2029,2179,2531,2521
Threat_04,True,BATCH-ZX2026-20-001,SYN-RADAR-007-004,OGC:CRS84,EPSG:32651,ACCEPT,Kinetic,L3,0.888641,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,308,535,578,901,996,1050,1217,1767,1814,2034,2184,2536,2521
Threat_05,True,BATCH-ZX2026-20-001,SYN-RADAR-007-005,OGC:CRS84,EPSG:32651,ACCEPT,Kinetic,L3,0.880795,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,313,540,583,906,1001,1055,1222,1772,1819,2039,2189,2541,2521
Threat_06,True,BATCH-ZX2026-20-001,SYN-RADAR-007-006,OGC:CRS84,EPSG:32651,ACCEPT,Kinetic,L3,0.873085,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,318,545,588,911,1006,1060,1227,1777,1824,2044,2194,2546,2521
Threat_07,True,BATCH-ZX2026-20-001,SYN-RADAR-007-007,OGC:CRS84,EPSG:32651,ACCEPT,HPM,L3,0.638829,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,323,550,593,916,1011,1065,1232,1782,1829,2049,2199,2551,2521
Threat_08,True,BATCH-ZX2026-20-001,SYN-RADAR-007-008,OGC:CRS84,EPSG:32651,ACCEPT,HPM,L3,0.633333,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,328,555,598,921,1016,1070,1237,1787,1834,2054,2204,2556,2521
Threat_09,True,BATCH-ZX2026-20-001,SYN-RADAR-007-009,OGC:CRS84,EPSG:32651,ACCEPT,HPM,L3,0.627932,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,333,560,603,926,1021,1075,1242,1792,1839,2059,2209,2561,2521
Threat_10,True,BATCH-ZX2026-20-001,SYN-RADAR-007-010,OGC:CRS84,EPSG:32651,ACCEPT,HPM,L3,0.622622,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,338,565,608,931,1026,1080,1247,1797,1844,2064,2214,2566,2521
