threshold,threat_count,adaptive_minimum_resource_packages,static_minimum_resource_packages,adaptive_pk_at_minimum,adaptive_wilson_ci95_low_at_minimum,static_pk_at_same_packages,same_package_pk_advantage,adaptive_mean_action_cost_at_minimum,static_mean_action_cost_at_same_packages,best_available_adaptive_pk,best_available_resource_packages
0.75,20,1,2.0,0.7593333333333333,0.743710682522728,0.2996666666666667,0.4596666666666666,7.3941,7.799999999999997,0.982,2
0.75,25,2,4.0,0.9803333333333333,0.9747157214293537,0.5303333333333333,0.44999999999999996,6.682033333333331,15.59999999999999,0.9803333333333333,2
0.75,30,2,,0.9766666666666667,0.9706242987655306,0.24866666666666667,0.728,10.213366666666662,15.59999999999999,0.977,3
0.75,40,2,,0.8013333333333333,0.7866742583809959,0.13533333333333333,0.666,15.203833333333327,15.59999999999999,0.9743333333333334,3
0.75,50,3,,0.9626666666666667,0.9552697423618957,0.12233333333333334,0.8403333333333334,19.094066666666652,23.399999999999984,0.9673333333333334,4
0.75,60,3,,0.8113333333333334,0.7969382609445893,0.06166666666666667,0.7496666666666667,22.976033333333316,23.399999999999984,0.966,4
0.75,75,4,,0.9153333333333333,0.9048327003173081,0.031,0.8843333333333333,29.827533333333317,31.19999999999998,0.9623333333333334,5
0.75,100,5,,0.847,0.8336750823800063,0.013666666666666667,0.8333333333333333,38.623400000000004,39.00000000000001,0.9523333333333334,6
0.95,20,2,5.0,0.982,0.9765893394666278,0.7743333333333333,0.20766666666666667,4.746266666666665,15.59999999999999,0.982,2
0.95,25,2,,0.9803333333333333,0.9747157214293537,0.5303333333333333,0.44999999999999996,6.682033333333331,15.59999999999999,0.9803333333333333,2
0.95,30,2,,0.9766666666666667,0.9706242987655306,0.24866666666666667,0.728,10.213366666666662,15.59999999999999,0.977,3
0.95,40,3,,0.9743333333333334,0.9680390907923707,0.303,0.6713333333333333,11.283299999999995,23.399999999999984,0.9743333333333334,3
0.95,50,3,,0.9626666666666667,0.9552697423618957,0.12233333333333334,0.8403333333333334,19.094066666666652,23.399999999999984,0.9673333333333334,4
0.95,60,4,,0.966,0.9588957805166788,0.118,0.848,20.43769999999999,31.19999999999998,0.966,4
0.95,75,5,,0.9623333333333334,0.9549079624448719,0.04633333333333333,0.916,25.68643333333333,39.00000000000001,0.9623333333333334,5
0.95,100,6,,0.9523333333333334,0.9441137030968278,0.021,0.9313333333333333,38.75753333333336,46.80000000000007,0.9523333333333334,6
